Percent_Thrombolysis_(median),Percent_Thrombolysis_(low_5%),Percent_Thrombolysis_(high_95%),Percent_Thrombolysis_(mean),Percent_Thrombolysis_(stdev),Percent_Thrombolysis_(95ci),Baseline_good_outcomes_per_1000_patients_(median),Baseline_good_outcomes_per_1000_patients_(low_5%),Baseline_good_outcomes_per_1000_patients_(high_95%),Baseline_good_outcomes_per_1000_patients_(mean),Baseline_good_outcomes_per_1000_patients_(stdev),Baseline_good_outcomes_per_1000_patients_(95ci),Additional_good_outcomes_per_1000_patients_(median),Additional_good_outcomes_per_1000_patients_(low_5%),Additional_good_outcomes_per_1000_patients_(high_95%),Additional_good_outcomes_per_1000_patients_(mean),Additional_good_outcomes_per_1000_patients_(stdev),Additional_good_outcomes_per_1000_patients_(95ci),Onset_to_needle_(mean),Onset_to_puncture_(mean),stroke_team,scenario
21.176471,16.441176,25.941176,21.141176,3.247635,0.636525,341.176471,276.470588,394.117647,336.529412,35.028661,6.865491,11.764706,0.0,35.294118,15.705882,9.644153,1.890219,171.550705,,7,speed_onset
28.235294,22.941176,34.117647,28.664706,3.427785,0.671834,335.294118,275.588235,388.529412,330.058824,36.691442,7.191391,17.647059,5.882353,41.176471,20.764706,10.979596,2.151961,171.3428,,7,speed_onset_benchmark
9.234828,6.596306,11.081794,9.08971,1.343492,0.26332,339.050132,303.298153,380.079156,339.788918,23.478911,4.601782,5.277045,0.0,13.192612,5.672823,3.904116,0.765193,180.468213,,8,base
12.401055,9.762533,14.538259,12.248021,1.500177,0.294029,339.050132,308.575198,369.39314,339.102902,21.11977,4.139399,5.277045,0.0,13.192612,6.886544,4.106376,0.804835,178.828097,,8,benchmark
15.039578,12.37467,17.427441,14.92876,1.68309,0.32988,337.730871,303.430079,377.440633,338.100264,22.595018,4.428542,7.915567,2.638522,18.469657,9.050132,5.199924,1.019166,180.083051,,8,onset
20.184697,17.664908,24.023747,20.311346,1.950835,0.382357,341.688654,300.791557,367.01847,340.0,21.008065,4.117505,10.55409,2.638522,21.108179,12.137203,5.562494,1.090229,181.402592,,8,onset_benchmark
9.366755,7.638522,11.609499,9.432718,1.366328,0.267795,341.688654,303.430079,377.308707,341.266491,23.543636,4.614468,5.277045,0.0,13.192612,6.226913,3.978076,0.779689,165.785197,,8,speed
12.796834,9.762533,15.567282,12.725594,1.776461,0.34818,336.411609,300.791557,372.163588,337.387863,22.450255,4.400169,7.915567,2.638522,18.469657,9.155673,5.023842,0.984655,165.521092,,8,speed_benchmark
15.963061,13.707124,19.010554,16.042216,1.762609,0.345465,343.007916,306.068602,385.356201,343.562005,24.371592,4.776744,10.55409,2.638522,21.108179,11.187335,5.576635,1.093,166.829683,,8,speed_onset
20.976253,18.205805,24.023747,21.124011,1.78198,0.349262,341.688654,305.936675,369.525066,340.158311,21.371982,4.188832,13.192612,5.145119,26.51715,14.08971,6.742288,1.321464,167.754073,,8,speed_onset_benchmark
